station_id,name,latitude,longitude,station_type,transport_type,public_transport,transport_category
1860825603,"Barsbüttel, Gemeinschaftsschule",53.5738259,10.1628358,stop_position,stop_position,stop_position,bus
1860837903,"Barsbüttel, Am Bondenholz",53.5690192,10.1796188,bus_stop,bus,platform,bus
1860837904,Holsteiner Tor,53.5697546,10.1495184,bus_stop,bus,platform,bus
1860837905,Holsteiner Tor,53.5698803,10.1482257,bus_stop,bus,platform,bus
1860837925,"Barsbüttel, Bergredder",53.5687786,10.1753661,bus_stop,bus,platform,bus
1860837936,"Barsbüttel, Bergredder",53.5689412,10.1757179,bus_stop,bus,platform,bus
1860837943,"Barsbüttel, Rathaus",53.5691512,10.168138,bus_stop,bus,platform,bus
1860837944,"Barsbüttel, Soltausredder",53.5689818,10.162061,bus_stop,bus,platform,bus
1860837945,"Barsbüttel, Zum Dicken Busch",53.5691575,10.1539438,bus_stop,bus,platform,bus
1860837973,"Barsbüttel, Zum Dicken Busch",53.5695703,10.152816,bus_stop,bus,platform,bus
1862134179,"Ahrensburg, Friedhof",53.6603769,10.2090063,stop_position,stop_position,stop_position,bus
1862134184,"Ahrensburg, Friedhof",53.6604023,10.2104411,bus_stop,bus,platform,bus
1862134188,"Ahrensburg, Friedhof",53.6604508,10.2104324,stop_position,stop_position,stop_position,bus
